id,state,abbr,region,poverty,povertyMoe,age,ageMoe,income,incomeMoe,noHealthInsurance,obesity,smokes
1,Alabama,AL,South,19.3,0.5,38.6,0.2,42830,598,13.9,33.5,21.1
2,Alaska,AK,West,11.2,0.9,33.3,0.3,71583,1784,15,29.7,19.9
4,Arizona,AZ,West,18.2,0.4,36.9,0.1,50068,483,14.4,28.9,16.5
5,Arkansas,AR,South,18.9,0.5,37.8,0.2,41262,653,16.3,35.9,24.7
6,California,CA,West,16.4,0.2,36,0.1,61933,238,14.8,24.7,12.9
8,Colorado,CO,West,12,0.4,36.3,0.1,61303,487,12.8,21.3,15.7
9,Connecticut,CT,East,10.8,0.5,40.5,0.2,70048,828,8.7,26.3,15.4
10,Delaware,DE,South,12.5,0.9,39.6,0.3,59716,1674,8.7,30.7,19.9
11,Washington D.C.,DC,South,17.7,1.2,33.8,0.2,71648,1996,8.3,21.7,16.4
12,Florida,FL,East,16.5,0.3,41.6,0.1,47463,329,17.6,26.2,17.7
13,Georgia,GA,East,18.3,0.4,36.1,0.1,49321,543,20.9,30.5,17.4
15,Hawaii,HI,West,11.4,0.8,38.1,0.2,69592,1456,8.1,22.1,14.1
16,Idaho,ID,West,14.8,0.7,35.9,0.2,47861,1275,16.5,28.9,15.9
17,Illinois,IL,MidWest,14.4,0.3,37.5,0.2,57444,429,11.9,29.3,16.5
18,Indiana,IN,MidWest,15.2,0.4,37.4,0.2,49446,487,14.8,32.7,22.9
19,Iowa,IA,MidWest,12.2,0.5,38.2,0.1,53712,761,7.7,30.9,18.5
20,Kansas,KS,MidWest,13.6,0.5,36.2,0.1,52504,706,14.5,31.3,18.1
21,Kentucky,KY,South,19.1,0.5,38.5,0.2,42958,697,10,31.6,26.2
22,Louisiana,LA,South,19.8,0.5,36.1,0.1,44555,738,18.7,34.9,24
23,Maine,ME,East,14.1,0.7,44.1,0.2,49462,1112,11,28.2,19.3
24,Maryland,MD,South,10.1,0.4,38.3,0.1,73971,867,9.2,29.6,14.6
25,Massachusetts,MA,East,11.6,0.3,39.4,0.2,69160,957,4.6,23.3,14.7
26,Michigan,MI,MidWest,16.2,0.3,39.6,0.1,49847,385,10.3,30.7,21.2
27,Minnesota,MN,MidWest,11.5,0.4,37.8,0.1,61481,471,7.3,27.6,16.3
28,Mississippi,MS,South,21.5,0.6,36.7,0.2,39680,773,18.8,35.5,23
29,Missouri,MO,MidWest,15.5,0.4,38.5,0.1,48363,567,12.9,30.2,20.6
30,Montana,MT,West,15.4,0.8,39.6,0.3,46328,1217,12.9,26.4,19.9
31,Nebraska,NE,MidWest,12.4,0.5,36.2,0.2,52686,688,12.4,30.2,17.3
32,Nevada,NV,West,15.2,0.7,37.4,0.2,51450,683,17.1,27.7,17
33,New Hampshire,NH,East,9.2,0.6,42.5,0.3,66532,1297,11.4,27.4,17.5
34,New Jersey,NJ,East,11.1,0.3,39.4,0.2,71919,438,12.5,26.9,15.1
35,New Mexico,NM,West,21.3,0.9,37.2,0.2,44803,849,15.4,28.4,19.2
36,New York,NY,East,15.9,0.3,38.2,0.1,58878,393,12.3,27,14.4
37,North Carolina,NC,South,17.2,0.3,38.3,0.1,46556,381,16.1,29.7,19.1
38,North Dakota,ND,MidWest,11.5,0.9,35.1,0.2,59029,1681,8.8,32.2,19.9
39,Ohio,OH,MidWest,15.8,0.3,39.4,0.1,49308,363,10.2,32.6,21
40,Oklahoma,OK,South,16.6,0.4,36.2,0.2,47529,454,13.9,33,21.1
41,Oregon,OR,West,16.6,0.5,39.3,0.2,51075,490,11,27.9,17
42,Pennsylvania,PA,East,13.6,0.3,40.7,0.1,53234,420,10.1,30.2,19.9
44,Rhode Island,RI,East,14.3,0.9,39.8,0.3,54891,1488,8,27,16.3
45,South Carolina,SC,South,18,0.5,38.8,0.1,45238,507,17.1,32.1,21.5
46,South Dakota,SD,MidWest,14.2,0.7,36.6,0.3,50979,1027,9.9,29.8,18.6
47,Tennessee,TN,South,18.3,0.4,38.6,0.1,44361,561,14.2,31.2,24.2
48,Texas,TX,South,17.2,0.2,34.3,0.1,53035,377,24.9,31.9,14.5
49,Utah,UT,West,11.7,0.6,30.5,0.1,60922,658,13.9,25.7,9.7
50,Vermont,VT,East,12.2,0.8,42.8,0.3,54166,1724,6.7,24.8,16.4
51,Virginia,VA,South,11.8,0.3,37.7,0.1,64902,624,13.1,28.5,19.5
53,Washington,WA,West,13.2,0.4,37.5,0.1,61366,485,10.7,27.3,15.3
54,West Virginia,WV,South,18.3,0.7,41.9,0.2,41059,651,10.1,35.7,26.7
55,Wisconsin,WI,MidWest,13.2,0.4,39.2,0.2,52622,433,8.5,31.2,17.4
56,Wyoming,WY,West,11.2,0.9,36.6,0.4,57055,1983,15.1,29.5,19.5